id	book_id	sentence	heading
1000	3	分別のある行動	5
	3	Seb Rose	6
	3	どんなに余裕あるように見えたスケジュールでも、実際に作業を始めれば、必ずどこかで追い詰められた状態になるものです。	7
	3	そして、同じことを「正しくやる方法」と「手早くやる方法」があれば、後者のほうが魅力的に見えてしまうことはよくあります。	7
	3	後者を選べば、後で修正が必要になるとわかっていても、その時は「必ず、すぐに修正しよう」と自分に誓うでしょう。	7
	3	プロジェクトチームのメンバーや、顧客などに修正を約束することもあります。	7
	3	約束した時点ではもちろん、絶対に約束を守るつもりでいます。	7
	3	次のイテレーションなどが修正のチャンスなのですが、実際にイテレーションが始まると、また新たな問題が起きてそちらに注力してしまい、結果、修正が不可能になってしまうことも多いのです。	7
	3	このように先送りされていく修正作業のことを「技術的負債(Technical debt)」などと呼ぶことがあります。	7
	3	当然、好ましいものではありません。	7
	3	Martin Fowlerは特に、今述べたような技術的負債のことを「故意の技術的負債」と読んでおり、故意でない、「不注意から発生する技術的負債」とは区別すべきであると言っています。	7
	3		7
	3	技術的負債は、その名の通り、借金のようなものです。	7
	3	短期的には利益になりますが、完済するまで利息を払い続けなくてはなりません。	7
	3	早くできるからと手を抜いてコードを書くと、機能追加やコードのリファクタリングが難しくなります。	7
	3	新たな不具合を生む温床となり、テストケースの価値を損なう原因にもなります。	7
	3	長く放置するほど害は大きくなるでしょう。	7
	3	ようやく元々の問題を解決したら、その問題が原因で生まれた新たな問題が山積みになっていた、ということになりかねません。	7
	3	問題が放置されていたために、正しい設計の選択が出来ないこともあります。	7
	3	リファクタリングや修正の難しいコードを仕方なく次々に書いてしまうこともあるでしょう。	7
	3	実のところ、事態が極端に悪化してしまい、もう他にどうすることも出来ない状況に陥ってはじめて、元々の問題の修正に取り組み始める、そんなことが多いのです。	7
	3	その頃には、修正は極めて難しくなっています。	7
	3	修正しようにも膨大な時間がかかるため、あるいはリスクが高すぎるため、手のうちようがないこともよくあります。	7
	3		7
	3	納期に間に合わせるため、ほんの少しの機能追加のため、どうしても技術的負債が生じてしまう、ということがあります。	7
	3	そうならないように努力はしなくてはいけないのですが、どうしてもそうせざるをえないことがあります。	7
	3	その場合は、あえて技術的負債を抱える道をとる以外ないでしょう。	7
	3	しかし(ここからが何より大事です)、技術的負債の存在は常に忘れないようにし、できるだけ早く返済すべきです。	7
	3	さもなければ事態は急速に悪化していきます。	7
